device_id,device_type,measure_time,serial_number,coordinates,temperature,oxygen_mpl,oxygen_per,oxygen_ppm,timestamp,date_time
wando01,Buoy,1732308188030,SN-PODOC-3833,"{'latitude': 34.382408142089844, 'longitude': 126.73638153076172}","{'value': 15.54224967956543, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:43:08.030,2024-11-22 20:43:08
wando01,Buoy,1732308123650,SN-PODOC-3833,"{'latitude': 34.382408142089844, 'longitude': 126.73638153076172}","{'value': 15.550361633300781, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:42:03.650,2024-11-22 20:42:03
wando01,Buoy,1732308059331,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73638153076172}","{'value': 15.554776191711426, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:40:59.331,2024-11-22 20:40:59
wando01,Buoy,1732307995022,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73638153076172}","{'value': 15.557162284851074, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:39:55.022,2024-11-22 20:39:55
wando01,Buoy,1732307930719,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73638153076172}","{'value': 15.572731018066406, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:38:50.719,2024-11-22 20:38:50
wando01,Buoy,1732307866422,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73638153076172}","{'value': 15.575743675231934, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:37:46.422,2024-11-22 20:37:46
wando01,Buoy,1732307802120,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73638153076172}","{'value': 15.570136070251465, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:36:42.120,2024-11-22 20:36:42
wando01,Buoy,1732307737820,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73638153076172}","{'value': 15.561576843261719, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:35:37.820,2024-11-22 20:35:37
wando01,Buoy,1732307673579,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73638153076172}","{'value': 15.547558784484863, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:34:33.579,2024-11-22 20:34:33
wando01,Buoy,1732307609339,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73638153076172}","{'value': 15.564201354980469, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:33:29.339,2024-11-22 20:33:29
wando01,Buoy,1732307545121,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73638153076172}","{'value': 15.559816360473633, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:32:25.121,2024-11-22 20:32:25
wando01,Buoy,1732307480889,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73637390136719}","{'value': 15.558265686035156, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:31:20.889,2024-11-22 20:31:20
wando01,Buoy,1732307416660,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73637390136719}","{'value': 15.558504104614258, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:30:16.660,2024-11-22 20:30:16
wando01,Buoy,1732307352417,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73637390136719}","{'value': 15.538789749145508, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:29:12.417,2024-11-22 20:29:12
wando01,Buoy,1732307288190,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73637390136719}","{'value': 15.560025215148926, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:28:08.190,2024-11-22 20:28:08
wando01,Buoy,1732307223959,SN-PODOC-3833,"{'latitude': 34.38241958618164, 'longitude': 126.73637390136719}","{'value': 15.565125465393066, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:27:03.959,2024-11-22 20:27:03
wando01,Buoy,1732307159730,SN-PODOC-3833,"{'latitude': 34.38241958618164, 'longitude': 126.73637390136719}","{'value': 15.566228866577148, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:25:59.730,2024-11-22 20:25:59
wando01,Buoy,1732307095489,SN-PODOC-3833,"{'latitude': 34.38241958618164, 'longitude': 126.73637390136719}","{'value': 15.560025215148926, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:24:55.489,2024-11-22 20:24:55
wando01,Buoy,1732307031270,SN-PODOC-3833,"{'latitude': 34.382415771484375, 'longitude': 126.73637390136719}","{'value': 15.56369400024414, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:23:51.270,2024-11-22 20:23:51
wando01,Buoy,1732306967027,SN-PODOC-3833,"{'latitude': 34.382408142089844, 'longitude': 126.73637390136719}","{'value': 15.551167488098145, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:22:47.027,2024-11-22 20:22:47
wando01,Buoy,1732306902798,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73637390136719}","{'value': 15.557908058166504, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:21:42.798,2024-11-22 20:21:42
wando01,Buoy,1732306838528,SN-PODOC-3833,"{'latitude': 34.38241958618164, 'longitude': 126.73638153076172}","{'value': 15.562232971191406, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:20:38.528,2024-11-22 20:20:38
wando01,Buoy,1732306773738,SN-PODOC-3833,"{'latitude': 34.38241958618164, 'longitude': 126.73636627197266}","{'value': 15.554418563842773, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:19:33.738,2024-11-22 20:19:33
wando01,Buoy,1732306646222,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73637390136719}","{'value': 15.537596702575684, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:17:26.222,2024-11-22 20:17:26
wando01,Buoy,1732306581921,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73637390136719}","{'value': 15.537596702575684, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:16:21.921,2024-11-22 20:16:21
wando01,Buoy,1732306517620,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73637390136719}","{'value': 15.5360164642334, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:15:17.620,2024-11-22 20:15:17
wando01,Buoy,1732306453331,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73637390136719}","{'value': 15.537477493286133, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:14:13.331,2024-11-22 20:14:13
wando01,Buoy,1732306389006,SN-PODOC-3833,"{'latitude': 34.3824119567871, 'longitude': 126.73638153076172}","{'value': 15.543561935424805, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:13:09.006,2024-11-22 20:13:09
wando01,Buoy,1732306324711,SN-PODOC-3833,"{'latitude': 34.38240051269531, 'longitude': 126.73636627197266}","{'value': 15.546693801879883, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:12:04.711,2024-11-22 20:12:04
wando01,Buoy,1732306260392,SN-PODOC-3833,"{'latitude': 34.382408142089844, 'longitude': 126.73636627197266}","{'value': 15.546096801757812, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-22 20:11:00.392,2024-11-22 20:11:00
