device_id,device_type,measure_time,serial_number,coordinates,temperature,oxygen_mpl,oxygen_per,oxygen_ppm,timestamp,date_time
wando01,Buoy,1731844364364,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.235292434692383, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:52:44.364,2024-11-17 11:52:44
wando01,Buoy,1731844300062,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.232219696044922, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:51:40.062,2024-11-17 11:51:40
wando01,Buoy,1731844235742,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.239944458007812, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:50:35.742,2024-11-17 11:50:35
wando01,Buoy,1731844171443,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.233116149902344, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:49:31.443,2024-11-17 11:49:31
wando01,Buoy,1731844107134,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.233116149902344, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:48:27.134,2024-11-17 11:48:27
wando01,Buoy,1731844042832,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.221603393554688, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:47:22.832,2024-11-17 11:47:22
wando01,Buoy,1731843978534,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.23046112060547, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:46:18.534,2024-11-17 11:46:18
wando01,Buoy,1731843914232,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.217666625976562, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:45:14.232,2024-11-17 11:45:14
wando01,Buoy,1731843849913,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.22395896911621, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:44:09.913,2024-11-17 11:44:09
wando01,Buoy,1731843785601,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.191091537475586, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:43:05.601,2024-11-17 11:43:05
wando01,Buoy,1731843721243,SN-PODOC-3833,"{'latitude': 34.38248825073242, 'longitude': 126.73638916015625}","{'value': 18.199918746948242, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:42:01.243,2024-11-17 11:42:01
wando01,Buoy,1731843656920,SN-PODOC-3833,"{'latitude': 34.38249206542969, 'longitude': 126.73638916015625}","{'value': 18.17591094970703, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 11:40:56.920,2024-11-17 11:40:56
